id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
lha,"LHA/LZH (1988, lh5)",B,native,False,full,max,ok,57747676,47001123,81.391,3.873,0.893,2490368,18 files verified against manifest
pax,pax (appendix: POSIX archiver),A,native,False,full,default,ok,57747676,57774080,100.046,0.097,0.104,1720320,18 files verified against manifest
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,full,default,ok,57747676,47260985,81.84,60.507,0.355,153255936,decompressed tar SHA-256 matches canonical tar
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,full,max,ok,57747676,47155471,81.658,69.606,0.359,153124864,decompressed tar SHA-256 matches canonical tar
rar4,RAR 4 (legacy format),A,native,False,full,default,ok,57747676,44496267,77.053,0.809,0.398,123453440,18 files verified against manifest
rar4,RAR 4 (legacy format),A,native,False,full,max,ok,57747676,44442067,76.959,0.901,0.405,123650048,18 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,full,default,ok,57747676,45172373,78.224,0.809,0.207,261406720,18 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,full,max,ok,57747676,45095093,78.09,1.02,0.202,262471680,18 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,full,default,ok,57747676,34636274,59.979,4.132,0.419,397803520,18 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,full,max,ok,57747676,34622923,59.956,4.431,0.426,596525056,18 files verified against manifest
shar,shar (appendix: shell archive),A,native,False,full,default,failed,57747676,,,,,,
squashfs,SquashFS (mksquashfs),A,native,False,full,default,ok,57747676,47448064,82.164,0.203,0.041,102318080,18 files verified against manifest
tar,"tar (uncompressed, baseline)",A,native,False,full,default,ok,57747676,57764864,100.03,0.061,0.049,3424256,18 files verified against manifest
tar-br,tar.br (Brotli),A,native,False,full,default,ok,57747676,37536149,65.0,84.046,0.23,390889472,decompressed tar SHA-256 matches canonical tar
tar-bz2,tar.bz2 (bzip2),A,native,False,full,default,ok,57747676,45005009,77.934,3.841,1.76,8912896,decompressed tar SHA-256 matches canonical tar
